age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
-0.03209124,-0.012223569,-0.004414805,-0.00042592868,0.014230721,4.485163e-05,0.00027782217,0.008733047,-0.021522356,0.005371781,-0.023381796,0.011283962,-0.00180836,-0.04905273,0.0018233795,0.021984821,-0.0011613459,0.0034338036,-0.0002523995,-0.006456634,0.012299062,0.0050526224,-0.00150117,0.0025585608,-0.0016339015,0.005535458,-0.003999993,-0.0053715385,-0.0030481431,0.005206835,-0.0017681743,0.0033962482,-0.0013776252,-0.0027441436,-0.0030618676,0.004730002,-0.007196323,-0.001397612,-0.0022044468,-0.0030284082
0.01198056,0.004564124,0.02857587,0.0071756067,-0.0073513086,-0.003531301,0.00058785296,-0.0020871186,-0.005673935,-0.0011709909,0.032045588,0.0018535547,0.00022014418,0.027258702,0.002199242,-0.0054278118,0.0021638302,-0.008223133,0.0020523623,0.0021518243,-0.0006572852,-0.007988883,0.0021062684,0.00018597719,0.01925622,-0.0027983973,0.0041326154,-0.008410612,-0.0025908158,-0.00021384332,-0.0046208203,0.0023251635,-0.00097186526,-0.008351596,-0.004299888,-0.01113349,-0.0042950683,-0.00019137048,-0.008775723,-0.014548562
7.131328e-06,-2.80138e-06,8.378249e-07,-2.4575613e-07,1.2041136e-06,3.04648e-06,2.54058e-07,7.7283534e-07,6.9323596e-06,1.4868394e-06,-4.5790566e-06,2.1128828e-06,4.093189e-06,3.3269607e-05,-1.8739024e-06,2.6877804e-06,1.8632883e-07,-2.8062496e-07,5.510197e-06,2.1872859e-06,-1.573214e-06,-2.143443e-06,7.5464646e-07,-3.3180402e-07,5.967947e-06,-5.1659805e-07,1.1134832e-06,1.484142e-06,-1.8725093e-06,-3.9055203e-06,3.4685909e-06,2.2532806e-06,-9.26127e-07,2.3819743e-07,2.7099127e-06,5.8991213e-06,-3.5361893e-07,-6.560958e-09,1.8328011e-06,-1.0882523e-05
7.098639e-05,-1.1895713e-05,3.0388715e-05,-4.651357e-05,-3.6907073e-07,4.9846203e-05,-3.2856748e-05,-1.7943621e-05,-5.457837e-05,-4.211358e-06,0.00016267088,1.7924332e-05,3.8365783e-05,0.00029784316,-1.2493853e-05,-1.6051703e-05,-9.812851e-06,9.85731e-06,-7.5836806e-06,3.1198815e-05,4.66403e-06,9.247182e-05,9.6111535e-06,1.7447748e-05,3.2926655e-05,-4.8535753e-06,1.5126407e-05,-1.3786474e-06,-2.6511074e-05,6.8568654e-05,-1.9290543e-05,1.0386758e-05,-6.9015728e-06,-5.8224985e-05,1.4558362e-05,-6.978602e-05,-3.2019183e-05,-1.4847222e-06,2.7574986e-05,9.323997e-05
-0.06533403,0.13821892,-0.025791153,-0.15949762,0.0006396867,0.1523296,0.04326109,-0.182981,-0.17656721,0.006220969,0.23730503,-0.104274824,-0.11480201,0.42768672,-0.035893083,-0.07993895,-0.06461644,0.029473003,-0.012416192,0.18509234,-0.08734922,-0.03791602,0.021986175,-0.00518088,0.25701413,-0.04374745,0.0011984447,-0.098298565,-0.047350194,0.0659992,-0.06922443,0.08481384,0.061459303,0.049894713,-0.061750397,-0.17844503,-0.0064283772,0.01239841,0.09787205,-0.19848444
0.031196337,-0.008853322,-0.05398804,0.016662838,-0.00023404742,0.019868549,-0.0010261037,-0.03293832,-0.041858554,0.07394106,0.11411915,0.033262264,-0.013417833,-0.041631896,-0.004910556,-0.016632602,-0.01746799,0.010870296,-0.003674095,-0.010374252,-0.014528255,0.0031347189,-0.045574956,0.008132256,-0.0148651665,0.0070523815,0.090425536,-0.0031809425,-0.0008177073,-0.0049075373,-0.025573423,0.0033207054,0.0022005143,0.014716879,0.006464493,0.0009274355,-0.01200192,-0.00025775883,0.0038708432,-0.0049838996
0.0024776456,0.0014739431,0.0006082102,-0.00076026894,-1.2525103e-05,0.00090365607,-0.0014713024,0.0002153559,0.00061177486,0.0010408656,0.00011701586,0.0031174945,0.0025901578,-0.0030937237,-0.0008136538,-0.0007743437,0.00022669406,-0.0009083708,-0.00070608227,0.0004432023,1.39772765e-05,0.00072104007,-0.0003879892,0.005353943,-0.0020598173,-0.00024985636,0.000502566,0.0003797455,-0.0010002629,0.0049774093,0.00047924262,0.000105743115,0.00033492313,-0.0016050488,-0.0032296802,0.002922574,-0.00025864237,-1.0277174e-05,0.00061318843,0.0015754619
-0.5856261,0.13033885,-0.26489717,0.20367125,-0.003883181,0.24603146,-0.0023809758,-0.267073,-0.33201617,0.06833431,0.19539183,0.24244341,0.13741359,0.09565209,-0.0763636,0.0043684877,-0.11792199,0.0060698637,-0.06261579,-0.009369554,-0.1150214,0.07029435,-0.5560002,0.009179894,0.114180274,0.014662123,0.0038177306,0.07265947,-0.04810819,-0.021329166,-0.1584101,0.06635785,0.091526374,0.06625321,-0.072070405,0.26309037,-0.01643859,0.0017583946,0.09579325,0.15368813
-2.7915287e-06,6.825889e-06,-3.6281565e-07,-2.851045e-06,-4.468917e-08,6.8749205e-06,2.1756102e-07,1.076587e-06,1.5171902e-06,9.772094e-07,-2.4912683e-06,-5.1032525e-06,3.1840614e-06,1.5317659e-05,2.024962e-05,1.4211065e-06,1.2066779e-05,-3.4443237e-06,-1.8655221e-06,1.0795766e-06,-1.3223189e-06,5.829634e-07,-1.0407487e-06,9.434115e-07,-5.7058955e-06,8.3162e-06,4.0885868e-07,-7.655145e-07,4.3386513e-05,-1.1285862e-06,8.3032364e-07,1.2368362e-06,2.6930027e-06,-6.1192696e-07,-6.042131e-07,-6.320817e-06,8.789633e-07,-3.861453e-07,5.336856e-06,6.3945677e-06
-0.0010699187,-0.00042712205,0.0003550525,-0.00017223631,2.4890738e-05,0.00050834584,-0.0014633127,0.00048824426,0.0005488325,0.00037635796,-0.00029223302,0.0002453412,-7.935957e-05,-0.005162737,-0.0010546163,0.0012103053,0.00010805247,2.0286565e-05,0.0001974677,-2.0540285e-05,0.00039168514,-0.00035832028,-7.9265505e-05,-9.502174e-05,0.0005777339,0.00013446718,-4.622516e-05,-0.0006786383,-8.60045e-05,0.00026934396,-3.1202893e-05,0.00022205997,-3.832827e-05,-0.00060532114,-0.00053462316,0.000297827,-0.00015840241,-1.2837824e-05,2.7472937e-05,0.00016178205
