age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06999005,-0.00917724,-0.00652098,-0.053139187,-0.04043167,-0.11477026,-0.005485303,-0.023504365,-0.020354837,0.0364209,0.07638973,-0.006863639,-0.056755114,0.27554452,0.0068992055,-0.038464166,0.0068373065,-0.005903702,-0.05838289,-0.04138282,-0.0058698216,0.035907358,-0.025437623,-0.077201225,0.061327636,-0.0011995081,-0.039024886,0.015910836,0.050246887,-0.015993867,-0.011375569,-0.06852552,-0.026579453,-0.047468122,-0.012265122,-0.092743285,0.031909242,0.02580208,0.062374048,-0.069976
-0.0021186215,0.0011321281,0.00020555104,-0.0002006414,0.00012670939,-0.0051305434,0.00046705396,-3.9629755e-05,-0.0037304389,-0.0011455854,0.0010859512,-0.0026879753,-0.003501199,0.014958456,0.0014008709,-0.0019770456,0.0003318214,0.0012021391,-0.0016276329,-0.0030672997,-0.00013840428,0.0010174718,-0.0004348578,-0.0013651398,0.0027937463,4.0997984e-06,-0.0017842762,-0.00022508536,0.004134878,0.0020336318,0.0003730231,-0.0016486171,-0.0006564647,-0.0022256044,-0.0010931225,-0.0038753815,0.0004545531,0.00070673175,0.002260355,-0.00335666
-0.0054012327,0.0007872763,0.0008526684,0.00013406482,-0.00023767492,-0.007992112,0.00087165146,-0.0004687761,-0.0055269636,1.6298727e-05,0.0035165919,-0.002346803,-0.006438658,0.02267301,0.0011365201,-0.001944761,0.0011790775,0.0009438292,-0.0010881028,-0.004931962,-0.00039167696,0.00320327,-0.0010519275,-0.0039678533,0.0035451439,0.0003016336,-0.0020386847,7.777319e-05,0.0050588828,0.0029585378,-0.0006671085,-0.0027425967,0.00026413178,-0.0017803969,-0.0010672555,-0.005323201,-0.00022914668,0.00087713177,0.003059533,-0.00595076
-0.052722655,0.040991727,0.0042410884,-0.057700284,-0.061529003,-0.16221088,-0.040957548,-0.015069218,-0.013967847,0.027927293,0.07143115,-0.021698285,-0.08149085,0.3008811,0.042155083,-0.041956916,-0.035419375,0.018755697,-0.06905304,6.408617e-05,0.014914875,-0.0015126299,-0.027068596,-0.03636472,0.055128343,0.0208099,-0.012363595,0.00815439,0.065232545,-0.023494981,-0.034406416,-0.09489524,-0.065665916,-0.045595072,0.0039429916,-0.09768392,0.036820006,0.0367384,0.08357546,-0.05759353
-0.059201654,0.017325532,0.009051852,-0.038939655,-0.033354785,-0.09352064,-0.033195674,-0.017828671,-0.0025643595,0.03608367,0.074660376,0.016595371,-0.063051455,0.15896936,0.0146015175,-0.007147572,-0.027315931,-0.017957063,-0.010896353,0.01326483,0.01627238,0.020483505,-0.020058379,-0.074667834,0.006730725,0.007961541,0.04159314,0.017571019,0.011765437,-0.007797923,-0.048128165,-0.042903643,-0.02169691,0.02582014,0.038084283,-0.02403523,-0.0031900126,0.02136636,0.027464705,-0.03283359
-0.014302021,0.017442947,0.012830546,0.019387703,0.0046530673,-0.035425752,0.008696739,0.0054139746,-0.037308358,-0.012064621,-0.0014167689,-0.023729425,-0.032390736,0.0952547,0.014509635,-0.005986779,0.0024293438,0.020552536,-0.0018501082,-0.02370994,-0.0042241346,0.008352945,-0.0030850684,0.013539199,0.0133121405,0.011414929,-0.012830753,-0.007173024,0.029728636,0.021750098,-0.0005181956,-0.0034881125,-0.00063425023,-0.0107414555,-0.01253579,-0.021151898,-0.0014158897,-0.0022310135,0.01470517,-0.023477167
-0.08505117,-0.0033775931,0.014976451,-0.045148775,-0.044091888,-0.1225746,-0.0061853696,-0.03046422,-0.032620795,0.04547809,0.089938566,0.0054813405,-0.074990965,0.2673264,0.0042169504,-0.023029525,0.006450143,-0.012201181,-0.037190765,-0.038925976,-0.007870345,0.05220268,-0.031937044,-0.08386006,0.039449416,0.009075521,-0.018538391,0.017901225,0.03342078,-0.013983052,-0.030580094,-0.0583883,-0.025521472,-0.022957252,0.0040698694,-0.07429015,0.021416087,0.018675292,0.0546953,-0.07938217
-0.0026177373,0.0016919374,0.0009944269,-2.0146006e-05,-0.00077920605,-0.004673699,0.00013049292,-0.00029180403,-0.0029721907,-0.00033903605,0.0022518942,-0.0012608833,-0.00417645,0.0105814235,0.0010056543,-0.0008208323,-0.00091682916,0.0018977228,-0.0010221545,-0.001780745,5.8728467e-05,0.0007696197,6.5849934e-05,-0.0012885575,0.0012562323,0.0018980284,-0.0010527789,-4.199434e-05,0.004685673,0.0005845267,-0.0002779613,-0.0023068946,-0.0016862922,-0.0007485862,0.00088811014,-0.0025596553,0.0011077073,8.850198e-05,0.0025657758,-0.0031322371
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
