age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
-0.13312022,0.023818403,-0.045053415,0.036268234,-0.020247668,0.0963033,0.025160342,-0.022743016,-0.06219686,0.09801206,-0.15532407,-0.11148318,0.032988578,-0.47700962,-0.075597174,0.06934311,-0.07455179,0.031866506,0.0790333,-0.006332554,0.023260336,0.05702811,0.2007817,0.0026112571,-0.027390987,-0.09449616,0.060967878,-0.0056781378,-0.15341657,-0.14657821,0.02450709,0.03340049,0.20004845,0.04736475,0.13691887,-0.10374953,-0.0517455,-0.113523,0.039191507,-0.37530056
0.039697476,0.0019251527,0.11045845,0.06096615,-0.04355123,-0.047988355,0.039033882,-0.036221266,-0.048622563,-0.20230865,0.1539617,0.04335069,0.031505533,0.14275812,-0.020121466,0.04964982,-0.0031949133,0.013559051,0.08431797,0.06009367,-0.05183226,-0.021632046,0.084854856,0.03331068,0.064350136,-0.0022145137,-0.038526386,0.047866862,-0.096332945,-0.051448934,0.031644642,0.068302415,-0.07008,-0.057636756,-0.085580155,-0.20607363,0.031661354,0.056990683,-0.053872257,-0.07331634
-0.0002752863,-0.009270383,0.026945967,-0.020668184,0.059395142,0.02900266,0.02535791,-0.03230424,0.017823964,0.011877989,-0.033685897,-0.020545263,0.018294103,0.026875557,0.008754754,-0.011690326,-0.0016442947,0.031123308,0.0005288441,0.014113724,0.031502433,-0.043111723,-0.021037811,-0.0015159897,0.025141036,-0.0036328426,0.011788637,0.005605546,0.009762246,-0.0061021354,0.020988245,-0.047004327,-0.010882044,0.0010747667,-0.0076813195,0.010725641,0.010315651,-0.004722286,-0.00397873,-0.07344181
0.0045800083,-0.012111466,0.011445617,0.009129736,-0.010065466,-0.015929043,-0.0054209363,-0.014158789,-0.0072960183,-0.00059563597,0.022065403,0.0054039466,0.0028932048,0.03327775,-0.017401837,0.021556308,-0.01478029,-0.020633299,-0.010551745,0.016354028,0.0071047912,0.0047874944,0.007606279,-0.0014144666,0.010345411,0.0079597775,0.013199778,-0.0038549202,-0.011046388,0.011895457,-0.013119196,-0.011013016,0.01669725,-0.006990225,-0.013963037,-0.010393738,0.011811709,0.0030464754,-0.0025251352,0.025879495
-0.072656095,-0.01776759,-0.1187295,-0.018657532,-0.09239353,0.20215242,-0.18977219,-0.09871605,-0.14961523,-0.04016573,0.18672162,0.025965348,-0.042158566,0.5333432,-0.08535517,-0.070525624,-0.1609917,0.03674549,-0.0017896518,0.06738548,-0.026934637,-0.0063809007,-0.0745116,-0.08270557,0.16609642,-0.096842825,0.09679865,-0.07934423,0.01998043,0.059559513,-0.12640238,0.07828159,0.15776768,0.13282052,-0.038439505,-0.06492877,0.077986434,-0.03639856,0.012959972,-0.12284236
0.14595433,-0.11150415,-0.025314137,0.021153655,0.0036933497,-0.0022550002,0.06429124,-0.043017626,-0.22873351,0.22946617,0.45706666,-0.0062203035,-0.020617172,-0.29255176,0.1325464,-0.20293805,-0.023730023,0.132456,-0.081078514,-0.1729008,0.0968546,-0.07102366,-0.037860796,-0.13337928,0.04783623,0.07415269,-0.0088694915,-0.011828944,-0.1659592,0.1584232,0.045694545,0.13349544,0.004498817,0.03394562,0.0024662986,-0.017246969,0.20460461,-0.021679027,0.021217661,-0.3102671
0.031087983,0.013264552,0.0026186714,-0.038238786,0.01934189,0.07612471,-0.08340494,0.0138446,0.034651797,-0.055151112,-0.060515035,0.05285383,0.01665417,-0.17648038,0.059896186,-0.041705012,0.041677795,0.0041918764,0.06815502,0.009146196,0.010521684,-0.05548151,-0.035752762,0.05612937,-0.1044358,0.042598326,-0.007030106,-0.040559556,-0.0015791785,0.08483654,0.015337835,0.015665006,-0.004332818,0.0031098127,-0.08436252,0.06587064,0.010889521,-0.0017850548,-0.012842934,0.09763102
-0.23797667,-0.025606621,-0.119229876,0.06071701,-0.10817342,0.14381391,-0.08161148,-0.24337909,-0.16174243,0.0007893592,0.10393658,0.104892544,0.06538639,0.073651575,-0.05537256,0.041132826,-0.10410769,0.010925081,-0.10403534,-0.007532362,-0.0074457675,0.01847805,-0.1709123,0.05258703,0.092839874,-0.060246147,0.061491977,0.010243773,-0.026927702,0.03433479,-0.028581455,-0.011914875,0.038903207,0.013842933,-0.020598114,0.16895786,0.045121133,0.06171365,0.009534461,0.105312765
-0.005629873,0.007683601,-0.016953835,-0.028892998,0.0067643523,0.011614074,0.0065466715,0.00062790606,-0.009534502,0.008791296,-0.007093028,-0.017487325,0.014092892,-0.0033372296,0.030942349,-0.0058297412,0.033041585,-0.007897012,0.009243626,0.019879783,0.013926055,-0.016290136,-0.0049985684,0.020561408,-0.038287528,0.0019103412,0.015071761,-0.012266057,0.008704307,-0.015912471,0.00976792,-0.01094665,-0.0043551493,0.00616946,0.00062362524,-0.016351018,-0.0062950356,0.008432988,0.030259695,0.007504113
-0.17422502,-0.087044254,0.079819545,-0.086383566,0.011322979,-0.0061586797,-0.029269077,0.062598914,0.14081702,0.10989029,-0.033489197,0.051500577,0.0019443668,-0.8018727,0.004433591,-0.110462815,0.1600483,-0.042349387,0.015391724,0.045522857,-0.0833386,-0.034940414,0.060254477,-0.0103661455,0.0011699498,0.09693998,-0.015323222,0.023957595,-0.030232161,-0.070174366,0.017248701,0.021774188,0.063630834,-0.05267527,0.041214425,-0.12083665,-0.028685171,-0.019892432,-0.087639615,-0.040027108
