age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
-0.032578178,0.011004469,0.013237934,0.007060759,0.03170665,-0.028358296,0.02726889,-0.02852143,-0.045815956,-0.0040073423,-0.0074163973,0.003189481,-0.012871884,0.08485891,-0.018184572,0.028036516,-0.0040705255,0.0057963394,0.002339889,0.017011318,0.005936249,0.014678201,0.009872247,0.014873611,0.024649065,-0.023222128,0.024185862,-0.0041217613,0.020734,0.024863187,-0.020193648,-0.016591202,0.010031002,-0.012495477,-0.00919735,-0.014322395,-0.011550171,-0.0314462,0.0024206457,0.0022979528
-0.13433048,0.014663393,0.0004175827,-0.052251004,0.03072362,-0.16358395,0.024351671,-0.03754558,-0.07275069,0.055956565,0.03934104,-0.003689715,-0.095327154,0.40761223,-0.0454519,0.03367845,0.0071313954,-0.006656406,-0.030586679,0.011090213,-0.010902927,0.09289646,-0.028391432,-0.056220192,0.1291194,-0.03456553,-0.025003638,0.03927526,0.07924304,0.034195136,-0.051047586,-0.10839845,-0.043290727,-0.07040197,0.011824104,-0.100007914,-0.015460688,-0.0139386635,0.043492287,-0.074646905
-0.02346543,0.017020047,0.0038770393,0.003128859,0.010409914,-0.0507526,0.0016909412,-0.00533818,-0.023455845,-0.005817771,0.008521904,-0.01485768,-0.032095782,0.119729385,-0.0013708813,-0.0041103587,0.005581534,0.011136277,-0.0070702583,-0.015473833,-0.0052245953,0.015611164,-0.004149231,-0.0092302235,0.026904816,-0.009366858,-0.0123414295,-0.006799882,0.0336112,0.014059419,0.0023935405,-0.025453527,-0.0035902872,-0.022178844,-0.0061284597,-0.02803919,-0.002877558,0.0022646503,0.01383727,-0.026449848
-0.011625374,0.0039260597,0.0034272491,0.00056661805,0.0015873692,-0.019959826,-1.393666e-05,-0.0029169808,-0.010317783,-0.0007481291,0.006018392,-0.0047811805,-0.015416473,0.041732155,-0.00030103594,-0.0025762867,0.0014691016,0.0034075677,-0.0016788777,-0.007502449,-0.0035456563,0.008001748,-0.0032762077,-0.008365068,0.006620082,-0.0010793107,-0.003906538,-0.0016982772,0.01141916,0.0047828793,0.00088341476,-0.006526795,-0.0024415818,-0.0054579037,-0.00092359056,-0.009642225,-5.9354912e-05,0.001064121,0.003977511,-0.010728071
-0.07909689,0.058519572,0.0214089,-0.011510524,0.03903361,-0.16772828,-0.008073279,0.0023646043,-0.07231076,-0.01028051,-0.01293782,-0.06736226,-0.11796482,0.37538862,0.011699382,0.026743252,-0.022387072,0.033921644,-0.030646265,0.011525135,-0.0047164834,0.05704865,-0.019269418,-0.02351126,0.10566898,-0.016537342,-0.005322869,0.019565132,0.09748424,0.06638527,-0.018772058,-0.059454013,-0.061960153,-0.06751143,0.0019650366,-0.08645789,-0.011618893,0.00819565,0.052872587,-0.044144787
-0.12043019,0.03174371,0.004809317,-0.04574581,0.02635088,-0.13183598,-0.010045837,-0.033181366,-0.058485616,0.046186,0.038737677,0.010138507,-0.088367954,0.30828482,-0.030361196,0.04910276,-0.026202548,-0.020564308,0.0025317892,0.047695998,0.014036012,0.07036982,-0.021391988,-0.05414623,0.08338975,-0.027029738,0.0403318,0.042069774,0.04743125,0.039401334,-0.0738395,-0.08410718,-0.040702157,-0.0037979581,0.046964973,-0.04165647,-0.047186606,-0.0123813655,0.018948145,-0.044068612
-0.03484999,0.012746729,0.015572026,0.016421877,0.011610631,-0.058035314,0.005405004,-0.0045479876,-0.050368626,-0.009530738,-0.004799085,-0.023447847,-0.05678468,0.11894953,0.0052050687,0.004622071,-0.0038242135,0.026643138,0.0016621195,-0.014416836,-0.008854466,0.019765723,-0.0075067906,-0.0011577064,0.023839107,0.009082839,-0.011049127,-0.0062794746,0.040361993,0.030659446,-0.0003365967,-0.0044581583,-0.017658427,-0.017395705,-0.008514447,-0.030406395,-0.004331534,-0.0035099525,0.016897587,-0.017432952
-0.118622325,0.0046419627,0.02333661,-0.028917128,-0.009292511,-0.12991497,0.00892736,-0.04810261,-0.073302925,0.040634878,0.049453992,0.002389066,-0.09825306,0.27920303,-0.014872303,0.016149212,-0.008817395,-0.0021487023,-0.030354476,0.009200817,-0.018285627,0.06351211,-0.041590262,-0.059033416,0.057234496,-0.027104134,0.004188639,0.016942136,0.04085614,0.03801531,-0.04020773,-0.045015242,-0.047320284,-0.034449037,-0.006585403,-0.06727768,-0.0018748157,-0.013077443,0.018903803,-0.041232564
-0.020255167,0.0048744096,0.0054808757,0.00029724877,-0.0012040699,-0.027437672,0.0005276422,-0.0063885627,-0.01978374,-0.0012700366,0.007598548,-0.005261707,-0.028092634,0.055083513,-0.0010558666,0.0012291869,-0.005291852,0.009055356,-0.0031747632,-0.0018068586,-0.002303334,0.007891173,-0.0020604627,-0.008172968,0.0095696915,0.00436492,-0.0040836814,0.00048054513,0.0240018,0.009107652,-0.0018534104,-0.009466467,-0.0143044265,-0.007014987,0.0050144726,-0.013880447,0.002379397,-0.001212857,0.009425243,-0.011483826
-0.019138603,0.007942857,0.003947288,0.0024478312,0.029029112,-0.0111702755,0.018729145,-0.0070564533,-0.023380054,0.0011694657,-0.008591058,0.0017036952,-0.0024335557,0.06813137,-0.016610648,0.025929838,0.0030986178,0.00092088414,0.0076887324,0.007456812,0.0023972273,0.020359937,0.008570944,0.011786491,0.02683784,-0.009057188,0.0065844813,0.009461565,0.018776271,0.010925278,-0.014041546,-0.0172217,0.003163711,-0.0109850215,0.00636255,-0.0069087967,-0.01269199,-0.011734298,0.0065168627,-0.008894083
