age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
-0.059107523,0.05191247,0.08127187,0.037216563,0.04308132,0.04396573,-0.017679993,0.137101,-0.08932348,0.06900303,-0.19268185,0.07181029,-0.06537926,-0.6876478,-0.021275902,0.06480099,0.022550497,0.019448806,0.0032556057,-0.027792677,-0.007960439,0.11001673,-0.0052130446,-0.039096743,0.086230114,0.10025317,-0.01237376,-0.075417094,-0.085768804,-0.028662644,-0.08190817,0.08174889,0.05066184,-0.15699114,-0.00020158291,-0.087465376,0.02900923,-0.04275349,-0.060796224,-0.18063127
0.12649417,0.002083199,0.0690365,0.012146389,-0.016310524,-0.04459212,-0.0046009957,-0.0381313,-0.042350035,-0.02683387,0.16279277,-0.01307432,-0.014931749,0.10068667,-0.062047772,0.0127872825,-0.0687502,-0.07295709,0.062075812,-0.0472133,0.030010575,-0.022352949,0.036178533,0.09195581,0.11018768,0.06094636,0.050997004,-0.06509408,0.04767994,-0.082389764,-0.021665202,0.016400736,0.024547618,-0.12847023,-0.024573367,0.015942188,0.011910545,0.03350238,-0.12303424,-0.11454205
0.012599692,-0.0014465638,0.008009272,-0.022106186,-0.0010174091,0.038163967,0.032597944,-0.075045966,0.0051105917,0.0009930991,-0.0459942,0.02117466,0.024644727,0.03266188,-0.02866245,-0.028378824,0.015388774,0.033188067,0.016780322,0.012894551,0.01357244,-0.02617921,-0.00030332804,-0.05305101,0.033433188,0.019604076,0.0018899939,0.0045819003,-0.027182259,-0.007858387,-0.001192566,-0.034698464,0.007875301,-0.0039410647,-0.0041775256,0.040415607,0.018617699,-0.020312756,0.021596037,0.017227124
0.0040374505,0.0056266,0.008583738,-0.0125100855,-0.011763454,0.015694458,-0.007463515,-0.0033061812,-0.011938473,0.012186903,0.017399525,-0.0016727243,0.008131357,0.022232862,-0.013490928,0.016920388,0.0014063208,0.004604084,-0.01570415,0.007530451,-0.0018791817,0.007766197,0.0061769015,0.0027385969,0.0017140261,0.013182386,0.0013880562,-0.0014968558,0.0006479714,0.016199058,-0.007953685,-0.0012062611,0.008339157,0.0038157143,0.0050266497,-0.014765196,-0.016397966,-0.03575124,0.0034347042,0.013936232
-0.013071246,-0.013542218,0.17688814,-0.15179706,-0.15345566,0.049072817,-0.10081056,-0.04894136,-0.051637664,-0.11596705,0.15485106,-0.09775168,-0.015129,0.2274343,-0.04589399,0.044658583,-0.02490358,0.054066833,0.115800954,-0.104683064,-0.06676319,-0.056748457,0.05674302,0.028864354,0.11599594,0.04306587,0.2029544,-0.11169572,-0.035873428,-0.10393471,-0.06452219,0.08653057,0.072977886,0.09097037,0.031474322,-0.24501547,0.03985586,0.06384894,0.09349978,-0.20806229
0.07066929,-0.10686985,-0.13308193,0.16247503,-0.020941168,-0.06272813,-0.11164107,0.08038409,-0.027772557,0.12632887,0.23038355,-0.06517658,-0.13135472,-0.23914169,0.117640465,0.0076764002,0.031716645,0.05703396,0.09582183,-0.032865077,0.3177149,-0.13896711,-0.044360302,0.11192177,-0.061419565,-0.043735504,-0.17717081,-0.022048108,-0.118070975,0.099151075,-0.045480262,0.27046725,-0.008691598,-0.043538474,-0.019657314,-0.0997861,-0.001971215,0.0029877871,0.0040103123,-0.0018269494
0.023924844,-0.0039499993,-0.018712379,0.010301042,0.040186457,0.026404528,0.02290116,0.012354814,-0.03869949,0.025519762,0.021202834,0.06559572,0.035013087,-0.14748402,-0.009289645,-0.019239511,-0.016221523,0.002941654,8.411147e-05,0.010766539,-0.009783918,0.067750506,0.010941944,0.020895094,-0.102557436,-0.012125528,0.020981662,-0.02689737,0.036182955,0.062808834,-0.020443212,-0.060204126,-0.016536096,0.014624704,-0.022281306,0.014543965,-0.0018854309,0.012868051,0.01815128,-0.0010667788
-0.26228112,-0.07595795,-0.06908309,0.058983926,-0.06549119,0.15778363,0.03241498,-0.07915445,-0.19271047,-0.053346787,0.096551225,0.11940539,0.03938737,-0.009583443,-0.042879276,0.043398164,-0.058003917,0.0008957386,-0.028708935,0.060982145,-0.022487614,0.075768374,-0.10407616,0.07642246,0.0854297,0.02100709,0.025191803,-0.09126355,-0.019324142,-0.04880023,-0.085172854,0.052219316,0.01562817,-0.016600419,-0.05008442,0.09391561,-0.02587767,-0.006816691,0.02477602,0.09476289
0.0050556716,0.014373592,-0.0073965993,0.00057410216,-0.02041656,0.007195245,-0.0043662395,-0.0073530283,0.0023164805,0.0024136796,0.0026020715,-3.916747e-05,0.011517814,0.022503009,0.03142524,0.020965045,-0.018233366,0.024096582,-0.0036725225,0.034527343,-0.020814173,-0.014286056,-0.029272994,0.009754635,-0.04986163,-0.016232254,0.0042414498,0.0044860067,0.021278124,-0.0072118975,0.014272296,-5.297456e-05,-0.017675586,0.0074374247,0.015884008,-0.024750903,-0.0019298217,0.0031968565,0.017048955,0.017870378
-0.07564645,0.0035569668,0.0009013936,-0.02044199,0.019305691,-0.11441319,0.024680533,0.033121713,0.06873712,0.08080537,-0.055259146,-0.07831684,-0.01940379,-0.82909983,0.06088537,-0.010477897,-0.0035501868,0.0590488,-0.012389161,-0.0039484166,0.01185023,-0.016269717,0.03377907,-0.010996766,0.11908391,0.0012617707,-0.053399466,-0.04754144,-0.023708843,-0.01201044,0.003156487,0.043289218,-0.03816267,-0.010698899,0.020258704,-0.07860407,0.045162234,-0.06420557,0.020643657,-0.01895663
